make,name,battery,real_range,efficiency,charge_power,drive,seats,tow_hitch,top_speed,acceleration,value
TESLA,Model 3,57.5,415,139,690,RWD,5,True,201,6.1,41970
TESLA,Model Y,57.5,350,164,580,RWD,5,True,217,6.9,45970
TESLA,Model Y Long Range Dual Motor,75.0,435,172,670,AWD,5,True,217,5.0,55970
TESLA,Model 3 Long Range Dual Motor,75.0,500,150,770,AWD,5,True,201,4.4,50970
TESLA,Model Y Long Range RWD,75.0,460,163,710,RWD,5,True,217,5.9,49970
BYD,ATTO 3,60.5,330,183,370,FWD,5,False,160,7.3,37990
MG,MG4 Electric 64 kWh,61.7,360,171,630,RWD,5,True,160,7.9,39990
BYD,SEAL 82.5 kWh AWD Excellence,82.5,490,168,540,AWD,5,False,180,3.8,50990
TESLA,Model Y Performance,75.0,415,181,640,AWD,5,True,250,3.8,60790
BMW,i4 eDrive40,80.7,515,157,800,RWD,5,True,190,5.7,59200
CITROEN,e-C3,44.0,265,166,340,FWD,5,True,135,11.0,23300
BMW,iX xDrive40,71.0,360,197,480,AWD,5,True,200,6.1,77300
VOLKSWAGEN,ID.4 Pro,77.0,435,177,650,RWD,5,True,180,6.7,46335
BYD,DOLPHIN 60.4 kWh,60.5,340,178,340,FWD,5,True,160,7.0,32990
VOLVO,EX30 Single Motor ER,64.0,360,178,600,RWD,5,True,180,5.3,41790
TESLA,Model S Plaid,95.0,560,170,780,AWD,5,True,282,2.3,110970
TESLA,Model S Dual Motor,95.0,575,165,800,AWD,5,True,250,3.2,95970
KIA,Niro EV,64.8,385,168,390,FWD,5,True,167,7.8,45690
HYUNDAI,Kona Electric 65 kWh,65.4,390,168,400,FWD,5,True,170,7.8,47190
TESLA,Model 3 Performance,75.0,455,165,700,AWD,5,False,262,3.2,57970
BYD,HAN,85.4,475,180,450,AWD,5,False,180,3.9,69020
CUPRA,Born 150 kW - 58 kWh,58.0,350,166,470,RWD,5,False,160,7.3,39370
FIAT,500e Hatchback 42 kWh,37.3,235,159,390,FWD,4,False,150,9.0,34990
BYD,SEAL 82.5 kWh RWD Design,82.5,500,165,550,RWD,5,False,180,5.9,44990
BYD,TANG,86.4,355,243,420,AWD,7,True,180,4.6,71400
DACIA,Spring Electric 45,25.0,165,152,180,FWD,4,False,125,19.1,22550
RENAULT,Scenic E-Tech EV87 220hp,87.0,490,178,510,FWD,5,True,170,7.9,48900
BMW,iX3,74.0,385,192,520,RWD,5,True,180,6.8,67300
BMW,iX1 xDrive30,64.7,380,170,510,AWD,5,True,180,5.6,55000
TESLA,Model Y,57.5,350,164,810,RWD,5,True,217,6.9,45970
SKODA,Enyaq 85,77.0,450,171,670,RWD,5,True,180,6.7,48900
NIO,ET7 75 kWh,70.5,400,176,600,AWD,5,True,200,3.8,81900
AUDI,Q6 e-tron quattro,94.9,460,206,920,AWD,5,True,210,5.9,74700
BYD,SEAL U 71.8 kWh Comfort,71.8,340,211,320,FWD,5,False,175,9.3,23055
MG,ZS EV Long Range,68.3,370,185,420,FWD,5,True,175,8.4,37990
TOYOTA,bZ4X FWD,64.0,340,188,510,FWD,5,True,160,7.5,47490
RENAULT,5 E-Tech 52kWh 150hp,52.0,330,158,420,FWD,5,True,150,7.5,32000
BMW,i4 M50,80.7,450,179,700,AWD,5,True,225,3.9,70800
RENAULT,Megane E-Tech EV60 220hp,60.0,380,158,530,FWD,5,True,160,7.4,46600
ROLLS-ROYCE,Spectre,102.0,465,219,540,AWD,4,False,250,4.5,379015
KIA,EV6 Long Range 2WD,74.0,410,180,1070,RWD,5,True,185,7.3,51990
HONDA,e:Ny1,61.9,335,185,300,FWD,5,False,160,7.6,47590
VOLKSWAGEN,ID.3 Pro,58.0,350,166,450,RWD,5,True,160,7.3,39995
